frame,track id,type,truncated,occluded,alpha,bbox left,bbox top,bbox right,bbox bottom,score
0,1,Pedestrian,0,0,0.0,383.0,147.0,488.0,357.0,0.8552382588386536
0,2,Pedestrian,0,0,0.0,461.0,134.0,539.0,347.0,0.7719021439552307
1,1,Pedestrian,0,0,0.3217505543966422,392.0,144.0,499.0,359.0,0.8667673468589783
1,2,Pedestrian,0,0,0.0,475.0,134.0,551.0,341.0,0.701495349407196
2,1,Pedestrian,0,0,0.0,403.0,144.0,509.0,358.0,0.9102243781089783
2,2,Pedestrian,0,0,0.07677189126977804,488.0,133.0,562.0,337.0,0.7978524565696716
3,1,Pedestrian,0,0,0.15264932839526515,416.0,142.0,522.0,359.0,0.8502252697944641
3,2,Pedestrian,0,0,0.06656816377582381,503.0,132.0,580.0,344.0,0.8470249176025391
4,1,Pedestrian,0,0,0.05549850524571683,434.0,143.0,539.0,360.0,0.8820701241493225
4,2,Pedestrian,0,0,0.0,512.0,132.0,592.0,351.0,0.8847066760063171
5,1,Pedestrian,0,0,0.348771003583907,445.0,139.0,552.0,361.0,0.8678485155105591
5,2,Pedestrian,0,0,0.12435499454676144,520.0,133.0,603.0,356.0,0.8689000606536865
6,1,Pedestrian,0,0,0.09966865249116202,455.0,138.0,562.0,362.0,0.8742392659187317
6,2,Pedestrian,0,0,0.22679884805388587,533.0,136.0,613.0,354.0,0.8149503469467163
7,1,Pedestrian,0,0,0.0,468.0,138.0,574.0,362.0,0.8734723925590515
7,2,Pedestrian,0,0,0.0,543.0,136.0,621.0,351.0,0.7163658738136292
8,1,Pedestrian,0,0,0.12435499454676144,484.0,140.0,588.0,363.0,0.8136762380599976
8,2,Pedestrian,0,0,0.07130746478529032,557.0,137.0,635.0,353.0,0.7765399217605591
9,1,Pedestrian,0,0,0.23109066719589708,501.0,144.0,601.0,363.0,0.8425406813621521
9,2,Pedestrian,0,0,0.09966865249116202,567.0,138.0,645.0,354.0,0.8299880027770996
10,1,Pedestrian,0,0,0.06656816377582381,516.0,145.0,616.0,364.0,0.8496642112731934
10,2,Pedestrian,0,0,0.21866894587394195,576.0,140.0,656.0,359.0,0.7962930202484131
10,3,Pedestrian,0,0,0.0,230.0,134.0,290.0,307.0,0.8108295202255249
11,1,Pedestrian,0,0,0.0,529.0,145.0,628.0,364.0,0.8607784509658813
11,2,Pedestrian,0,0,0.16514867741462683,588.0,138.0,670.0,360.0,0.7891374230384827
11,3,Pedestrian,0,0,0.12435499454676144,238.0,135.0,298.0,309.0,0.8319480419158936
12,1,Pedestrian,0,0,0.0,543.0,145.0,643.0,364.0,0.8519461750984192
12,3,Pedestrian,0,0,0.19739555984988075,253.0,138.0,314.0,316.0,0.7968422174453735
