frame,track id,type,truncated,occluded,alpha,bbox left,bbox top,bbox right,bbox bottom,score
0,1,Pedestrian,0,0,0.0,320.0,147.0,423.0,356.0,0.8513222932815552
0,2,Pedestrian,0,0,0.0,408.0,137.0,495.0,337.0,0.8373824954032898
1,1,Pedestrian,0,0,3.0309354324158977,327.0,146.0,432.0,358.0,0.8400481939315796
1,2,Pedestrian,0,0,0.0,423.0,137.0,510.0,336.0,0.7944594621658325
2,1,Pedestrian,0,0,3.0348569809406576,339.0,146.0,443.0,357.0,0.8450977802276611
2,2,Pedestrian,0,0,-0.27829965900511133,430.0,135.0,517.0,337.0,0.8554402589797974
3,1,Pedestrian,0,0,2.9959642730189704,355.0,146.0,459.0,361.0,0.8385683298110962
3,2,Pedestrian,0,0,0.0,443.0,135.0,531.0,341.0,0.8683158755302429
4,1,Pedestrian,0,0,2.984990776607778,367.0,147.0,472.0,364.0,0.8764705657958984
4,2,Pedestrian,0,0,0.11065722117389565,452.0,136.0,543.0,348.0,0.8797116279602051
5,1,Pedestrian,0,0,3.0035866299322738,380.0,146.0,485.0,364.0,0.8759422302246094
5,2,Pedestrian,0,0,-0.3217505543966422,458.0,134.0,551.0,353.0,0.8299919366836548
6,1,Pedestrian,0,0,2.921343930199104,391.0,149.0,495.0,363.0,0.8656014800071716
6,2,Pedestrian,0,0,0.19739555984988075,473.0,137.0,563.0,351.0,0.8208080530166626
7,1,Pedestrian,0,0,2.9857244521914708,403.0,148.0,507.0,364.0,0.8586024045944214
7,2,Pedestrian,0,0,-0.07677189126977804,486.0,136.0,574.0,349.0,0.8018918037414551
8,1,Pedestrian,0,0,2.995580395878518,418.0,146.0,520.0,364.0,0.8344690799713135
8,2,Pedestrian,0,0,0.2984989315861793,499.0,140.0,583.0,349.0,0.775410532951355
9,1,Pedestrian,0,0,3.096169374168216,433.0,143.0,535.0,364.0,0.8407633900642395
9,2,Pedestrian,0,0,0.07677189126977804,512.0,141.0,596.0,351.0,0.8263748288154602
9,4,Pedestrian,0,0,0.0,172.0,137.0,237.0,312.0,0.7239072322845459
10,1,Pedestrian,0,0,0.010908658182663983,447.0,140.0,550.0,363.0,0.8272963762283325
10,2,Pedestrian,0,0,0.0,519.0,137.0,607.0,356.0,0.812288224697113
10,4,Pedestrian,0,0,-0.5880026035475675,178.0,133.0,244.0,311.0,0.7713822722434998
11,1,Pedestrian,0,0,0.02104952213704643,463.0,139.0,567.0,363.0,0.8529309034347534
11,2,Pedestrian,0,0,0.014163358812957385,531.0,138.0,620.0,357.0,0.8137270212173462
11,4,Pedestrian,0,0,0.0,187.0,133.0,254.0,313.0,0.7585312724113464
12,1,Pedestrian,0,0,0.017419840551777848,474.0,138.0,579.0,363.0,0.8216932415962219
12,2,Pedestrian,0,0,0.0195505813363177,545.0,140.0,631.0,357.0,0.7690367698669434
12,4,Pedestrian,0,0,0.2914567944778671,197.0,136.0,264.0,316.0,0.7610809803009033
13,1,Pedestrian,0,0,0.013697773372865788,489.0,140.0,591.0,363.0,0.8027292490005493
13,2,Pedestrian,0,0,0.005586534060655966,555.0,138.0,640.0,356.0,0.7518488764762878
13,4,Pedestrian,0,0,-0.09966865249116202,207.0,135.0,275.0,321.0,0.7795016169548035
14,1,Pedestrian,0,0,0.01683342665765318,504.0,140.0,604.0,364.0,0.791408896446228
14,2,Pedestrian,0,0,0.005524805665672641,569.0,137.0,653.0,358.0,0.8298097252845764
14,4,Pedestrian,0,0,0.18534794999569476,223.0,138.0,291.0,323.0,0.8093929290771484
15,1,Pedestrian,0,0,0.0,514.0,138.0,613.0,363.0,0.8337069749832153
15,2,Pedestrian,0,0,-0.008426766823777332,579.0,135.0,665.0,360.0,0.7838339805603027
15,4,Pedestrian,0,0,0.11065722117389565,232.0,139.0,300.0,324.0,0.7941396832466125
16,1,Pedestrian,0,0,0.0034482621948027704,522.0,140.0,620.0,362.0,0.8225314021110535
16,2,Pedestrian,0,0,-0.011235482257962729,588.0,135.0,676.0,360.0,0.8080454468727112
16,4,Pedestrian,0,0,0.13255153229667402,247.0,141.0,313.0,323.0,0.7651168704032898
16,5,Pedestrian,0,0,0.0,1084.0,121.0,1211.0,364.0,0.7435713410377502
17,1,Pedestrian,0,0,3.103636208401479,531.0,142.0,630.0,362.0,0.8646227717399597
17,2,Pedestrian,0,0,3.11054673134577,601.0,136.0,687.0,360.0,0.8781411051750183
17,4,Pedestrian,0,0,3.1172369347469258,263.0,141.0,329.0,323.0,0.7996932864189148
17,5,Pedestrian,0,0,2.485897027348257,1071.0,131.0,1193.0,365.0,0.8046037554740906
17,6,Pedestrian,0,0,0.0,196.0,135.0,262.0,330.0,0.7044782042503357
18,1,Pedestrian,0,0,0.020054617584246724,545.0,142.0,643.0,362.0,0.8294614553451538
18,2,Pedestrian,0,0,0.0024213027742458304,609.0,136.0,696.0,361.0,0.7561039924621582
18,4,Pedestrian,0,0,0.04874185130993159,278.0,139.0,346.0,322.0,0.8309125304222107
18,5,Pedestrian,0,0,0.008283834179266864,1041.0,142.0,1157.0,364.0,0.8241536021232605
18,6,Pedestrian,0,0,0.27829965900511133,203.0,137.0,269.0,332.0,0.7210041880607605
19,1,Pedestrian,0,0,0.011079878985325689,564.0,141.0,660.0,360.0,0.7723973989486694
19,2,Pedestrian,0,0,-0.004807655266691059,619.0,135.0,706.0,359.0,0.5646053552627563
19,4,Pedestrian,0,0,0.047583103276983396,287.0,141.0,357.0,324.0,0.8389015793800354
19,5,Pedestrian,0,0,0.006234333194075054,1005.0,142.0,1121.0,363.0,0.8135988116264343
19,6,Pedestrian,0,0,0.0,209.0,137.0,276.0,335.0,0.7590928077697754
20,1,Pedestrian,0,0,0.005420001126522596,578.0,139.0,675.0,360.0,0.8067922592163086
20,2,Pedestrian,0,0,-0.014149998938006609,633.0,131.0,721.0,359.0,0.6786458492279053
20,4,Pedestrian,0,0,0.04392776707688983,300.0,141.0,371.0,325.0,0.8207064270973206
20,5,Pedestrian,0,0,0.006561585620014374,971.0,142.0,1088.0,364.0,0.832870364189148
20,6,Pedestrian,0,0,0.19739555984988075,219.0,139.0,286.0,336.0,0.7836939692497253
20,7,Cyclist,0,0,0.0,427.0,142.0,459.0,187.0,0.7425586581230164
21,1,Pedestrian,0,0,-0.0059523106545916376,595.0,141.0,692.0,361.0,0.7671895027160645
21,2,Pedestrian,0,0,-0.040886292610145564,647.0,133.0,732.0,356.0,0.7549715638160706
21,4,Pedestrian,0,0,-3.1328209487453504,313.0,141.0,384.0,326.0,0.8335345387458801
21,5,Pedestrian,0,0,0.0,940.0,142.0,1058.0,364.0,0.8364242315292358
21,6,Pedestrian,0,0,-3.1168452316417703,225.0,137.0,293.0,338.0,0.7372141480445862
21,7,Cyclist,0,0,3.141592653589793,423.0,142.0,455.0,187.0,0.6513842344284058
22,1,Pedestrian,0,0,-0.005376292285708889,609.0,141.0,708.0,362.0,0.8119491338729858
22,2,Pedestrian,0,0,-0.03304581701892995,665.0,134.0,753.0,361.0,0.7084886431694031
22,4,Pedestrian,0,0,-3.131388926095839,325.0,141.0,398.0,327.0,0.8370761275291443
22,5,Pedestrian,0,0,0.010224592559571838,912.0,147.0,1028.0,365.0,0.8521112203598022
22,6,Pedestrian,0,0,-3.099950074491205,231.0,134.0,301.0,341.0,0.7805693745613098
