epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,104.671,1.46891,2.04538,1.18361,0.42019,0.30714,0.26925,0.15293,1.37992,1.20132,1.12184,0.00332444,0.00332444,0.00332444
2,181.519,1.37116,1.39482,1.14002,0.36655,0.44492,0.38465,0.21228,1.3371,1.20646,1.09977,0.00662482,0.00662482,0.00662482
3,256.199,1.38479,1.31448,1.14095,0.41324,0.37103,0.34252,0.18762,1.36559,1.14421,1.11484,0.0098922,0.0098922,0.0098922
4,330.526,1.3738,1.26719,1.14655,0.54899,0.41393,0.39395,0.22099,1.30307,1.07299,1.09561,0.0098515,0.0098515,0.0098515
5,404.964,1.31885,1.14968,1.12141,0.47452,0.4466,0.42504,0.24352,1.27609,1.02978,1.09447,0.009802,0.009802,0.009802
6,479.041,1.27382,1.05482,1.09745,0.54998,0.48726,0.49358,0.28209,1.21509,0.94631,1.05637,0.0097525,0.0097525,0.0097525
7,553.165,1.25156,1.0024,1.08501,0.59029,0.50947,0.52156,0.3098,1.18985,0.9221,1.0439,0.009703,0.009703,0.009703
8,627.451,1.22664,0.95992,1.07186,0.617,0.5154,0.54097,0.32111,1.18094,0.88168,1.04381,0.0096535,0.0096535,0.0096535
9,701.529,1.19632,0.92098,1.06043,0.65828,0.55819,0.584,0.34308,1.1638,0.85524,1.0358,0.009604,0.009604,0.009604
10,775.829,1.18435,0.88831,1.05426,0.65722,0.54225,0.58255,0.35087,1.1388,0.86304,1.03469,0.0095545,0.0095545,0.0095545
11,850.091,1.16809,0.86645,1.04264,0.65241,0.57962,0.6115,0.36304,1.13329,0.80716,1.02186,0.009505,0.009505,0.009505
12,924.235,1.14646,0.84895,1.03517,0.68454,0.55108,0.60668,0.36409,1.12023,0.82701,1.00972,0.0094555,0.0094555,0.0094555
13,998.494,1.13253,0.82859,1.03026,0.72201,0.55852,0.62423,0.37282,1.10464,0.77897,1.00487,0.009406,0.009406,0.009406
14,1072.46,1.12211,0.80988,1.02362,0.73406,0.54843,0.63287,0.38955,1.09872,0.77879,1.00775,0.0093565,0.0093565,0.0093565
15,1146.23,1.11147,0.79921,1.02014,0.73557,0.61163,0.6819,0.42607,1.07134,0.74756,0.99767,0.009307,0.009307,0.009307
16,1220.15,1.09832,0.77805,1.01114,0.69836,0.62705,0.67231,0.41204,1.06312,0.74194,0.99283,0.0092575,0.0092575,0.0092575
17,1293.98,1.07911,0.76304,1.00602,0.71668,0.60893,0.67693,0.42605,1.05822,0.73854,0.99122,0.009208,0.009208,0.009208
18,1367.82,1.08232,0.7594,1.00644,0.73936,0.6269,0.69102,0.4416,1.05271,0.72008,0.98273,0.0091585,0.0091585,0.0091585
19,1441.9,1.07512,0.74907,1.00297,0.74528,0.63404,0.70872,0.45542,1.03213,0.71122,0.98021,0.009109,0.009109,0.009109
20,1515.91,1.06991,0.74457,1.00003,0.70297,0.63905,0.68826,0.42332,1.04119,0.70949,0.98124,0.0090595,0.0090595,0.0090595
21,1590.07,1.05625,0.73184,0.99344,0.76111,0.66784,0.73957,0.46487,1.01587,0.69365,0.97548,0.00901,0.00901,0.00901
22,1663.96,1.04497,0.72285,0.98929,0.74629,0.65128,0.70772,0.44946,1.02082,0.68069,0.98246,0.0089605,0.0089605,0.0089605
23,1737.68,1.04126,0.71781,0.98875,0.71944,0.67636,0.72541,0.46246,1.00853,0.67464,0.97593,0.008911,0.008911,0.008911
24,1811.36,1.02812,0.69965,0.98321,0.75944,0.66202,0.73549,0.47193,1.00407,0.66481,0.96082,0.0088615,0.0088615,0.0088615
25,1885.48,1.01569,0.6922,0.98202,0.71726,0.67576,0.72801,0.46836,0.98567,0.66281,0.96264,0.008812,0.008812,0.008812
26,1959.15,1.01562,0.6917,0.9792,0.76949,0.68121,0.749,0.48514,0.98195,0.63642,0.96086,0.0087625,0.0087625,0.0087625
27,2033,1.00743,0.68072,0.97625,0.74709,0.6403,0.72359,0.47012,0.98485,0.64654,0.96733,0.008713,0.008713,0.008713
28,2106.74,0.99419,0.67482,0.97172,0.7791,0.66885,0.74916,0.48868,0.97117,0.64487,0.95331,0.0086635,0.0086635,0.0086635
29,2180.93,1.00195,0.67382,0.97008,0.73917,0.70156,0.76208,0.49883,0.96827,0.63916,0.95721,0.008614,0.008614,0.008614
30,2254.87,0.99338,0.66418,0.97007,0.8226,0.64697,0.74966,0.50033,0.96438,0.6339,0.94825,0.0085645,0.0085645,0.0085645
31,2329.08,0.98708,0.66299,0.97005,0.79743,0.68589,0.76653,0.50167,0.96093,0.62661,0.95712,0.008515,0.008515,0.008515
32,2402.94,0.97693,0.65323,0.96373,0.78336,0.70304,0.76336,0.50925,0.95208,0.61043,0.94358,0.0084655,0.0084655,0.0084655
33,2476.95,0.96918,0.64479,0.95921,0.79304,0.69923,0.77301,0.51352,0.94932,0.6079,0.95286,0.008416,0.008416,0.008416
34,2551.02,0.97344,0.64393,0.96124,0.82334,0.70186,0.78619,0.52217,0.94044,0.59915,0.9496,0.0083665,0.0083665,0.0083665
35,2625.24,0.96336,0.63761,0.95633,0.81225,0.70516,0.78663,0.53508,0.92017,0.59455,0.93414,0.008317,0.008317,0.008317
36,2699.32,0.95932,0.63511,0.9559,0.8191,0.70507,0.78746,0.52758,0.91893,0.5876,0.93936,0.0082675,0.0082675,0.0082675
37,2773.03,0.95432,0.62927,0.95592,0.82407,0.70431,0.79357,0.53814,0.91338,0.58413,0.93283,0.008218,0.008218,0.008218
38,2846.95,0.95169,0.62945,0.95486,0.83298,0.7178,0.80212,0.54139,0.91732,0.58959,0.94105,0.0081685,0.0081685,0.0081685
39,2921.03,0.94803,0.62484,0.95338,0.83671,0.70512,0.78897,0.53195,0.90694,0.5763,0.93343,0.008119,0.008119,0.008119
40,2994.83,0.94179,0.62056,0.95103,0.79444,0.70246,0.79166,0.53802,0.90934,0.57983,0.93472,0.0080695,0.0080695,0.0080695
41,3068.56,0.9376,0.61835,0.95037,0.84558,0.73236,0.81622,0.55546,0.89588,0.56531,0.93014,0.00802,0.00802,0.00802
